ADBCode,Description,Date and Version Number,Completed
DIS026,"DISPENSER, Medical hand sanitizer, lever action, wall mounted",17/04/19 v0.1,
DIS-06,"DISPENSER, automated, medication management system, 1400H 600W 700D (DIS9013 x 1, OUT046 x 1, OUT121 x 1)",,
DIS438,"DISPENSER, disposable gloves set of 3 and disposable apron, wall mounted",17/04/19 v0.1,
DIS9001,"DISPENSER, disposable vomit bowl, wall mounted",V0.1,
DIS9011,"DISPENSER, automated, medication management system, single cell auxiliary, approx 2000H 700W 750D",17/04/19 v0.1,
DIS9014,"DISPENSER, medication, double, 2100H 1350W 700D",v0.1,
DIS9019,"DISPENSER, automated medication management system, triple cell, 2100H 1945W 700D",,
DIS9031,"DISPENSER, Clinell wipes",,
DOC9000,"DOCKING STATION, syringe driver, 4 units",v0.1,
DRA056,"DRAWER UNIT, 2 drawer, lockable, on castors, 600H 410W 600D",17/04/19 v0.1,
DRY-01,"Hairdryer, with outlets (DRY9000 x1, OUT052 x1)",,
DSU-01,"DISPOSAL UNIT (macerator) with services (DSU001 x1, OUT061 x1, OUT301 x1, OUT342 x1)",,
DSU-02,"DISPOSAL UNIT, 1600mm, including tap & drain (left hand) (CIS004 x1, DSU007 x1, OUT344 x1, TAP809 x1, WAS103 x1, WAS108 x1)",,
HAR9001,HARMONIC machine,,
HOI-01,"HOIST, H-Frame, ceiling mounted, (HOI9002 x1, OUT004 x1)",,
HOI-03,"HOIST, bariatric, ceiling track mounted (HOI9001 x1, OUT004 x1)",,
HOL014,"HOLDER, sack, with lid foot operated, large, capacity 120 litre, mobile",,
HOL018,"HOLDER, toilet roll",17/04/19 v0.1,
HOL020,"HOLDER, sharps box, up to 7 litre capacity, rail/trolley hang or wall mounted, 170H 125W 100D",v0.1,
HOL9002,"HOLDER, sharps bin, on wheels, mobile",,
HOO019,"HOOK, single, small, wall mounted",17/04/19 v0.1,
HOO020,"HOOK, single, large, wall mounted",17/04/19 v0.1,
HOO022,"HOOK, double, wall mounted",17/04/19 v0.1,
HOO061,"HOOK, limb sling, ceiling mounted",,
HOO9001,"HOOK, single, wall mounted, Anti Ligature",,
IMG121,"IMAGE CS RAIL, ceiling suspensions for monitors ",17/04/19 v0.1,
IMG9002,"IMAGER, MRI, control console & workstation, 1300H 1600W 1000D",,
IMG9020,"MRI, 3T, Closed bore",17/04/19 v0.1,
IMG9021A,"CABINET, Data Acquisition, floor mounted",,
IMG9021B,"CABINET, AIR CONDITIONING, patient cooling, floor mounted",,
IMG9021C,"CABINET, GRADIENT POWER RF AMPLIFIER, floor mounted",,
IMG9021D,"CABINET, MDP, main disconnect panel",,
IMG9021E,"CABINET, Power Distribution, floor mounted",,
IMG9021F,"CABINET, HEAT EXCHANGER, system cooling (Helium compressor) floor mounted",,
IMG9025E,"MACHINE CONTROL CONSOLE, monitor keyboard, desk mounted",,
IMG9033,"DOPPLER, blood flow, audible",,
INF002,"INFUSION volumetric pump, 188H 110W 60D",v0.1,
INF9003,"INFILL, 865H x 300Wmm",,
INS9001,"INSUFFLATOR, Laparoscopic",,
INT-01,"INTERCOM unit, wall mounted, with data point (INT9002 x1, OUT210 x1)",,
IOR9000,INTEGRATED THEATRE,v0.1,
Jan-01,"JANITORIAL UNIT, including tap & waste (SIN013 x1, WAS102 x1, WAS108 x1)",,
KIC001,"KICKABOUT, bowl stand, stainless steel, 360mm dia.",17/04/19 v0.1,
LAD002,"LADDER, 3 tread, platform type 750mm height, folding",v0.1,
LAR9000,"Video, laryngoscope",,
LIG015,"LUMINAIRE observation/examination, mobile, 1000 lux",17/04/19 v0.1,
LIG-03,"ILLUMINATED SIGN, ""DO NOT ENTER"", with connection outlet (LIG074 x1, OUT056 x1)",,
LIG035,"LUMINAIRE examination, mobile, 15000-30000 lux",,
LIG046,"SLIT LAMP, with accessories and height adjustable stand",,
LIG053,"LUMINAIRE, examination, ceiling, adjustable, 30000-40000 lux",17/04/19 v0.1,
LIG-06,"LUMINAIRE examination, adjustable, 40000 lux, wall/trunking/rail mounted (LIG058 x1, OUT056 x1)",,
LIG-07,"LIGHT, 3 in 1, up-lighter, down-lighter and night light system, wall mounted (LIG9000 x1, OUT001 x1)",,
LIG-08,"ILLUMINATED SIGN, ""NEXT PATIENT PLEASE"", with connection outlet (LIG080 x1, OUT056 x1)",,
LIG-11,"ILLUMINATED SIGN, ""ROOM IN USE"", with connection outlet (LIG073 x1, OUT056 x1)",,
LIG-12,"LUMINAIRE, LED, operating theatre with camera (LIG9011 x1, OUT004 x1)",,
LIG-13,"ILLUMINATED SIGN, ""RADIATION ON"", with connection outlet (LIG071 x1, OUT056 x1)",,
LIG-14,"ILLUMINATED SIGN, ""LASER IN USE"", with connection outlet (LIG072 x1, OUT056 x1)",,
LIG9000,"LIGHT, 3 in 1, up-lighter, down-lighter and night light system, wall mounted",,
LIG9007,"LIGHT, minor surgery, MRI compatible, 50,000 lux, mobile",,
LIG9009,"LUMINAIRE, examination, LED, ceiling, adjustable, 50,000 lux",,
LIG9011,"LUMINAIRE, LED, operating, two-head, incorporating HD camera",,
LOC005,"LOCKER clothes, single, 1800H 300W 550D",17/04/19 v0.1,
LOC9000,"LOCKER, bedside, 3 compartment, integral self-dispensing drugs cabinet, on castors, 950H 470W 530D",17/04/19 v0.1,
LOU003,"LOUDSPEAKER, ceiling mounted",,
MIC029,"MICROSCOPE, surgical, floor standing, 1700H 875W 1880D",17/04/19 v0.1,
MIC045,"MICROCSOPE ENT, ceiling mounted",,
MIC9035,"MICROSCOPE ophthalmology, mobile",,
MIR001,"MIRROR, wall mounted, 650H 300W",17/04/19 v0.1,
MIR004,"MIRROR, wall mounted, 1600H 400W",17/04/19 v0.1,
MIR010,"MIRROR, wall mounted, 800H 300W",17/04/19 v0.1,
MIR024,"MIRROR, unbreakable, wall mounted, 800H 300W",17/04/19 v0.1,
MIR031,"MIRROR, optical glass, 700H 400W",,
MIR9001,"MIRROR, OPTICAL, wall mounted on swivel bracket",,
MON013,"MONITOR, vital signs, multi-parameter, with accessories, 280H 360W 215D",17/04/19 v0.1,
MON-02,"MONITOR, vital signs with bracket (MON013 x1, BRA9007 x1)",,
MON051,"MONITOR, patient, MR compatible, vital signs, multi-parameter, includes pulse oximeter, 280H 360W 215D",17/04/19 v0.1,
MON053b,"MONITOR, Slave screen,",,
MON9008,"MONITOR, room oxygen levels, MRI compatible",17/04/19 v0.1,
MON9009,"MONITOR, theatre, medical grade flat panel, 50"" ceiling mounted",V0.1,
MON9011,"MONITOR and CONTROL for CCTV, complete with flat screen monitor, keyboard, digital recorder (computer) and power supply",,
MON9014,"MONITOR, slave, patient vital signs",,
MON9019,"MONITOR, Cerebral",,
MON9029,"MONITORING MODULES, end-tidal CO2",,
MOP9001,"MOP, handle holder, 5 position, wall mounted",,
MOR9001,"MORCELLATOR, Laparoscopic",,
MSC002,"CABINET tall, 600mm facing, (600x400 inserts), with formed plastic liners and 10 telescopic runners, open, on plinth, o/a height 2100",,
MSC003,"CABINET tall, 600mm facing, (600x400 inserts), with formed plastic liners and 5 telescopic runners, open, on plinth, o/a height 2100",,
MSC-01,"PHARMACY CABINET, 600mm facing, with 4 shelves, 1 pull out prep. shelf, warning light (MSC9006 x1, OUT050 x1)",,
MSC043,"CABINET tall, 600mm facing, (600x400 inserts), with formed plastic liners and 10 telescopic runners, 1 door hinged right, on plinth, o/a height 2100",17/04/19 v0.1,
MSC044,"CABINET tall, 600mm facing, (600x400 inserts), with formed plastic liners and 10 telescopic runners, 1 door hinged left, on plinth, o/a height 2100",,
NEU9000,"Stimulator, neuromuscular",,
OBS180,"Observation/viewing panel, 1800mm",,
OPH015,TEST LogMAR visual acuity chart,,
OPH026,"SLIT LAMP, with accessories and height adjustable stand",,
OUT001,"OUTLET cable fused, wall mounted",,
OUT005,"SOCKET outlet, switched, 13 amp, single",17/04/23 v0.1,Done
OUT-01,"OUTLETS, for computer (wall/trunking mounted) (OUT010 x1, OUT9034 x1, OUT131 x1)",,
OUT010,"SOCKET outlet, switched, 13 amp, twin",17/04/23 V0.1,Done
OUT013,"SOCKET outlet unswitched 13amp twin, trunking mounted",,
OUT-03,"OUTLETS, for refrigerators/freezers,  (OUT006 x1, OUT056 x1)",,
OUT030,"SOCKET outlet switched 13amp single, splashproof",,
OUT131,"SOCKET outlet data/voice, double.",,
OUT151,SOCKET outlet patient monitoring,,
OUT210,"SOCKET outlet two-way communication system (intercom), wall mounted",,
OUT301,"OUTLET, cold water for equipment",,
OUT452,"OUTLET 4 kPa compressed air medical, trunking mounted",,
OUT453,"OUTLET, 4 kPa compressed air, medical",,
OUT461,"OUTLET, nitrous oxide, medical",,
OUT470,"OUTLET, oxygen, medical.",,
OUT471,"OUTLET oxygen medical, trunking mounted",,
OUT475,"OUTLET, vacuum, medical",,
OUT476,"OUTLET vacuum medical, trunking mounted",,
OUT480,"OUTLET, gas scavenging (AGS), medical",,
OVE014,"OVEN, microwave, light duty, 1000watt, capacity 26 litres, 295H 295W 410D",17/04/19 v0.1,
OVE015,"OVEN, microwave, super heavy duty, 1850watt, capacity 26 litres, stainless steel, 370H 575W 557D",,
PAD9001,"PADDING, securely fixed to wall, fire resistant",17/04/23 v0.1,Done
PAN063,"PANEL, indicator",,
PAN165,"LOUVRE PANEL, steel, plastic tote boxes, complete with 44 containers, wall mounted, 440H 520W",17/04/19 v0.1,
PAN9007,"PANEL, Touch Screen, control surgical procedure room",17/04/19 v0.1,
PAT-01,"PATIENT CONSOLE inc bracket, for control of entertainment, food services, environmental controls, telemedicine enabled  (PAT9001 x1, OUT052 x1, OUT121 x1)",,
PAT9000,PAT SLIDE,v0.1,
PEN-02,"PENDANT ANAESTHETIC (PEN9010 x1, OUT9019 x2, OUT9018 x12, OUT9476 x2, OUT9471 x2, OUT9452 x2, OUT9462 x2, OUT9479 x2)",,
PEN-03,"PENDANT SURGICAL (PEN9011 x1, OUT9019 x2, OUT9020 x6, OUT9476 x2, OUT9471 x2, OUT9452 x2,  OUT9462 x2, OUT9479 x2)",,
PEN-16,"PENDANT RESUSCITATION medical and power supply unit, 2 articulated arms, with docking station, ceiling mounted (PEN9015 x1, OUT9019 x8, OUT9020 x14, OUT9476 x2, OUT9471 x2, OUT9452 x2, OUT9462 x2, OUT9479 x2, CAL9009 x1, OUT9151 x1, BRA9008 x1)",,
PER9000,"STIMULATOR, Peripheral nerve",,
PHY9000,"BEANBAG, vacuum, full body",,
PLA002,"PLATFORM, step-stand, stackable, portable, 130H 480W 330D",v0.1,
PNE9000,"PNEUMATIC, Tube, send/receive",,
PRI015,"PRINTER, label, portable",17/04/19 v0.1,
PUM9001,"PUMP, fluid pump, theatre",,
RAC001,"RACK, drainage, bedpan holder (5), with drip tray, wall mounted",,
RAC091,"RACK, magazine, 3 shelves, floor standing, fixed to the wall, 1400H 900W 300D",17/04/19 v0.1,
RAC196,"RACK, x-ray lead apron, 5 hangers hinged, wall mounted",17/04/19 v0.1,
RAC197,"RACK, x-ray lead apron, 6 swivel arms, mobile",,
RAC380,"RACK, stainless steel, includes 5 solid ss shelves - 3 adjustable shelves, mobile, 1895H 1220W 455D",,
RAC410,"RACK, metal, 1 bay, 4 shelves, 1980H 1200W 600D",17/04/19 v0.1,
RAC440,"RACK, leaflet, wall mounted, 915H 250W 105D",17/04/19 v0.1,
RAI048,"RAIL, grab, vertical, wall mounted, 600mm",17/04/19 v0.1,
RAI081,"RAIL, grab, horizontal, wall mounted, 900mm",17/04/19 v0.1,
RAI130,"RAIL, clinical equipment, wall mounted, 600mm",,
RAI132,"RAIL, clinical equipment, wall mounted, 1200mm",,
RAI161,"RAIL, grab, horizontal, wall or door mounted, 600mm",17/04/19 v0.1,
RAI175,"RAIL, grab, hinged, wall mounted, 750mm",17/04/19 v0.1,
REF-04,"REFRIGERATOR, medical (drug/vaccine), underbench with power (REF059 x1, OUT006 x1, OUT056 x1, OUT121 x1)",,
REF059,"REFRIGERATOR, medical (drug/vaccine), capacity 160 litre, external temperature gauge, automatic defrost, lockable, underbench, 850H 550W 620D",17/04/19 v0.1,
REF062,"REFRIGERATOR, capacity 82 litres, external temperature gauge, lockable, 660H 500W 510D",17/04/19 v0.1,
REF063,"REFRIGERATOR, capacity 117 litres, domestic type, 865H 500W 550D",17/04/19 v0.1,
REF065,"REFRIGERATOR, capacity 285 litres, 1430H 600W 635D",17/04/19 v0.1,
REF9011,"REFRIGERATOR, medical, 66 litres, lockable, benchtop 720H 450W 485D",V0.1,
REG9001,"SUCTION UNIT, pipeline, high pressure, wall/trunking mounted",,
REG9004,"FLOWMETER, oxygen, pipeline, 5L/min, wall/trunking mounted",,
REG9005,"FLOWMETER, oxygen, pipeline, 15L/min, wall/trunking mounted",,
RSU013,"RESUSCITAIRE with radiant warmer, infant, mobile o/a 1880H 724W 1120D",17/04/19 v0.1,
SCA012,"SCALE, swab, includes Mains adaptor",17/04/19 v0.1,
SCA083,"SCALE CHAIR, weighing person, mobile",v0.1,
SCA9004,"SCALE, digital, weighing person, with height measure",,
SCR061,"SCREEN shielding, radiation proof, 2mm lead, solid/glass, 2000H 2100L, angle",,
SCR064,"SCREEN, x-ray radiation protection, lead rubber, mobile, 900H 700L, lead equivalent 0.5mm Pb.",17/04/19 v0.1,
SCR9010,"SCREEN, retractable, wall mounted, approx 1900H 3200W",,
SCR9011,"SCREEN, portable, L-Shaped, approx 1900H 3200W 3200D",,
SCR9012,"SCREEN, retractable, wall mounted, L-Shaped, approx 1900H 3200W 3200D",,
SCR9013,"SCREEN, portable, approx 1900H 3200W",,
SCR9017,"SCREEN, x-ray radiation protection, lead rubber, mobile, accessory rail",,
SCR9018,"SCREEN, x-ray radiation protection, lead acrylic, 500H 400L, lead equivalent 0.5mm Pb, ceiling mounted",,
SEA004,"SEAT, bench, wall mounted, 480H 1300W 400D",,
SEQ9000,SEQUENTIAL COMPRESSION UNIT,v0.1,
SET001,"SETTEE/BED, convertible, with arms",,
SHE231,"SHELF, 1500W 300D",,
SHO-01,"SHOWER, cubicle, non slip floor (SHO019 x1, SHO022 x1, RAI266 x1, OUT345 x1)",,
SMT007,"TROLLEY, modular storage, single enclosed frame, including worktop, with lockable door, with up to 5 sets of runners for 600 facing inserts, 900H 660W 500D",,
SNS-03,"SINK, clinical, stainless steel with right hand drainer, including tap, trap and waste (DIS013 x1, DIS024 x1, SNS9003 x1, STF9002 x1, TAP809 x1, WAS103 x1, WAS108 x1)",,
SNS-07,"SINK plaster, left hand drainer, 900H 1200W 600D (SNS510 x1, WAS102 x1, WAS108 x1, TAP809 x1, STD9102 x1, DIS013 x1, DIS024 x1)",,
SPA002,Space for bed,,
SPA015,Space for wheelchair,,
SPA028    ,Space for mortuary body viewing trolley,,
SPA034    ,Space for patient trolley,,
SPA9000,Space for bed/patient trolley,,
SPA9001,Space for infant resuscitation trolley,,
SPA9015,Space for WOW,,
SPA9017,SPACE for resus trolley,,
SPA9018,"SPACE for cylinder trolley, entonox",,
